0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
0020		1. Une nouvelle rentrée	6
0021		2. Premiers cours : séduction	15
0022		3. Anastasia	27
0023		4. Les Amis de Hari Seldon	39
0024		5. Contacter les anges	48
0025		6. Anthropotélie	55
0026		7. Leo	67
0027		8. Johnny Brise-Muscles	74
0028		9. La Transformation	84
0029		10. Ava	94
0030		11. La quatrième note	100
0031		12. Le message d’Ilya	106
0032		13. Mort	114
0033		14. Un corps sans tête	120
0034		15. Le rituel de la Luna	127
0035		16. L’Aneto	132
0036		17. Matilde	141
0037		18. Élia	148
0038		19. La Porte de Tannhäuser	155
0039		20. Montoliu	162
0040		21. Iliouchenka	169
0041		22. Le Vortex	176
0042		23. L’Apocalypse	184
0043		24. Une non-conversation dans un non-lieu	192
0044		25. La Re-Matérialisation	198
0045		26. Une voix de l’au-delà	205
0046		27. Amour salvateur	211
0047		28. Conscience fractale	216
0048		29. Un monde nouveau	221
0049		30. Qui est l’ennemi ?	229
0050	Heading 2	CHAPITRE 1. Une nouvelle rentrée
0051	Normal	Il était huit heures du matin, le 1er septembre 2050, et l’académie Gaïa inaugurait une nouvelle année universitaire dans l’immeuble « Eldoria » de Barcelone, un bâtiment néogothique qui avait connu des jours de gloire par le passé, mais qui affichait désormais des signes évidents de décadence après plus de deux cents ans d’histoire. Une mousse verdâtre grimpait lentement le long des murs, conquérant le territoire sans rencontrer la moindre opposition ennemie. Les gargouilles, malgré leurs expressions sinistres, semblaient regretter la perte de leur ancienne splendeur, et les fenêtres ogivales, fissurées, laissaient filtrer une lumière lasse et sombre. Malgré tout, l’édifice conservait une étrange beauté, une aura de mystère qui captivait ses étudiants, lesquels cherchaient sur ses murs vieillis l’inspiration nécessaire pour mener à bien leurs rêves.
0052	Normal	Le Dr Maarten Bonduelle, un Belge de Bruges de quarante-trois ans, en était le directeur, et il se sentait ce jour-là très satisfait après avoir constaté que tous les cours affichaient complet. L’équipe enseignante au complet assistait à la première réunion de l’année, dont le premier et unique point à l’ordre du jour consistait à présenter les nouveaux professeurs, à communiquer les horaires des cours et à annoncer les nouvelles matières au programme. L’une d’elles était la « licence de séduction », confiée à Marguerite Laurent, une Parisienne de trente-neuf ans, grande et mince, aux cheveux noirs et lisses tombant jusqu’aux épaules et au « look » art déco. On inaugurait aussi le cours de « danses inuites », assuré par Akna Tikaani, vingt-neuf ans, originaire de la ville de Nuuk.
0053	Normal	Une fois présentées les principales nouveautés, le directeur Maarten donna la parole aux deux nouvelles recrues, Marguerite et Akna.
0054	Normal	— Bonjour à toutes et à tous, dit la Dre Marguerite. Je suis très heureuse d’être parmi vous, et que la prestigieuse académie Gaïa m’ait choisie cette année comme professeure invitée. J’ai très envie de vous connaître et d’apprendre de mes nouveaux collègues, surtout les plus chevronnés d’entre vous. Comme vous le savez déjà, l’une de mes spécialités est la séduction et, même si mes élèves en seront les principaux bénéficiaires, n’hésitez pas à me demander de l’aide si vous vous trouvez dans une situation où il vous faut séduire quelqu’un, comme, par exemple, convaincre le Dr Maarten de vous augmenter !
0055	Normal	L’intervention de Marguerite s’acheva sur un rire général, avant de céder la place aux mots de la Dre Akna.
0056	Normal	— Bonjour ! Moi, c’est Akna Tikaani, du Groenland, même si j’ai étudié à Paris. À vrai dire, je m’exprime mieux par la danse que par les mots, alors je me joins à ce qu’a dit Marguerite. Et si vous voulez apprendre à danser comme nous le faisons, nous, les Inuits, vous me rendrez très heureuse. Merci à tous pour votre accueil.
0057	Normal	— Eh bien, puisque tu en parles, moi, ça me plairait beaucoup ! Je crois que nous pourrions trouver des éléments communs entre nos deux traditions, qui nous enrichiraient mutuellement. Au fait, je m’appelle Adem Kaya, je suis turc et ma spécialité est la danse derviche.
0058	Normal	— Je serai ravie de partager cela avec toi, Adem. Nous pouvons former une belle équipe et faire en sorte que tout le monde apprenne à danser nos danses respectives, répondit Akna.
0059	Normal	— Moi, j’ai essayé l’an dernier avec Adem, mais je finissais toujours par avoir le tournis, dit Maarten, provoquant le sourire de l’assemblée. Bon, eh bien, maintenant que nous nous connaissons, vous pouvez gagner vos départements et vos salles, ou la cafétéria, si vous n’avez pas encore petit-déjeuné. Songez que, d’ici quelques jours, vous ferez la connaissance de vos élèves.
0060	Normal	La réunion formelle était terminée, laissant place à une rencontre plus informelle à la cafétéria de l’académie, où se poursuivit, de manière plus détendue, l’échange d’impressions habituel après la trêve estivale. Certains, comme le Dr Álvaro Ruiz, qui assurait le master d’élaboration de dictionnaires, arboraient un beau bronzage et se montraient tout à fait affables avec Marguerite. Comme il était célibataire et sans attache, il profitait de la moindre occasion pour « lancer l’hameçon » et tenter de capturer quelque proie, comme il avait coutume de dire.
0061	Normal	— Alors comme ça, ta spécialité, c’est la séduction ?
0062	Normal	— Oui, entre autres, bien sûr !
0063	Normal	— Et tu pourrais faire un exercice pratique avec moi ? J’adorerais que tu me séduises !
0064	Normal	— Hum… On me l’a demandé bien des fois, et je donne toujours la même réponse.
0065	Normal	— J’espère qu’elle n’est pas négative, dit Álvaro avec un sourire intéressé.
0066	Normal	— Non, je laisse simplement passer le temps. Si, au bout de quelques semaines, je vois que cette personne m’intéresse, alors j’envisage d’user de mes talents.
0067	Normal	— Eh bien, je vois que je vais devoir m’employer. Tant mieux ! Je n’aime pas les proies faciles.
0068	Normal	— Moi non plus…, répondit Marguerite.
0069	Normal	Mais elle ne put achever sa phrase, car le professeur Floyd Rikala s’apprêtait à les saluer à la mode finlandaise :
0070	Normal	— Moi ! Je suis Floyd Rikala, professeur de sciences, dit-il en s’adressant tout particulièrement à Marguerite et en lui tendant la main avec timidité.
0071	Normal	— Comment ça va, Floyd ? Il s’est bien passé, cet été ? demanda Marguerite.
0072	Normal	— Oui, Floyd, qu’as-tu fait pendant toutes ces vacances ? demanda Álvaro, désireux de prendre part à la conversation. Je vois que tu n’as pas beaucoup fréquenté la plage.
0073	Normal	— Oui, je suis toujours aussi blanc. En fait, je suis allé à Helsinki chez mes parents et je n’ai pas bougé de là-bas.
0074	Normal	— Vraiment ? Tu n’as pas fait le moindre petit voyage ? demanda Álvaro.
0075	Normal	— Je devais aller en Italie avec Marco, mon compagnon jusqu’alors. Mais comme nous avons rompu, les projets sont tombés à l’eau.
0076	Normal	— Mince, quel dommage. Et que s’est-il passé, si ça ne t’ennuie pas que je te le demande ?
0077	Normal	— Non, ça ne m’ennuie pas, parce que ça me fait du bien d’en parler. J’ai l’impression de lâcher du lest émotionnel.
